Location,Address,Resolved Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity
,"Zamora, MICH, México",,Week 52 (Dec),80.7,41.1,64.1,43,79.5,0.33,,15.7,,67.4,61.09
,"Zamora, MICH, México",,Week 1 (Jan),83.9,43.1,61.5,40.5,82.8,5.18,,17.9,,50.8,65.21
,"Zamora, MICH, México",,Week 2 (Jan),80.7,33.9,62.3,40.6,80.7,2.22,,22.4,,42.8,60.42
,"Zamora, MICH, México",,Week 3 (Jan),84.5,41.1,62.9,46.8,85.1,0,,13.4,,24.3,53.89
,"Zamora, MICH, México",,Week 4 (Jan),84.8,41.6,63.6,43,82.3,0.02,,17.9,,30.9,56.06
,"Zamora, MICH, México",,Week 5 (Jan),86.3,37.5,62.5,,83.4,4.18,,17.9,,39.2,63
,"Zamora, MICH, México",,Week 6 (Feb),87.5,45.2,63.8,43,84.1,1.85,,20.1,,35.7,59.57
,"Zamora, MICH, México",,Week 7 (Feb),85.7,44.7,64.4,,83.3,0.66,,15.7,,42,59.81
,"Zamora, MICH, México",,Week 8 (Feb),88.4,43.1,66.8,,85.3,0.09,,20.1,,31.7,53.88
,"Zamora, MICH, México",,Week 9 (Feb),92.6,43.1,68,40.5,88.3,4.21,,17.9,,21.3,50.24
,"Zamora, MICH, México",,Week 10 (Mar),87.9,39.3,68.7,48.2,84.9,0,,22.4,,23.5,48.55
,"Zamora, MICH, México",,Week 11 (Mar),89.3,42.5,66.7,,85.5,6,,17.2,,38,53.86
,"Zamora, MICH, México",,Week 12 (Mar),89.7,44.3,69.6,,88.5,0.12,,22.3,,26.4,47.3
,"Zamora, MICH, México",,Week 13 (Mar),91.7,48.3,70.8,,88.1,0.04,,29.1,,27.8,45.48
,"Zamora, MICH, México",,Week 14 (Apr),93.3,47.9,72.7,,88.8,0,,17.9,,24.5,45.1
,"Zamora, MICH, México",,Week 15 (Apr),93.3,48.3,72,,93.1,0,,20.1,,20.1,44.14
,"Zamora, MICH, México",,Week 16 (Apr),95.3,48.3,72.7,,94.8,0,,21.9,,26,43.94
,"Zamora, MICH, México",,Week 17 (Apr),94.7,46.5,73.6,,94.4,4.11,,17.9,,35.6,41.22
,"Zamora, MICH, México",,Week 18 (Apr),95.6,46.5,74.8,,92.7,0.9,,17.9,,32.6,45.72
,"Zamora, MICH, México",,Week 19 (May),97.4,50.6,75.7,,93.6,1.68,,17.9,,45.4,45.46
,"Zamora, MICH, México",,Week 20 (May),96.5,55.7,75.8,,93.2,0.61,,15.7,,39.1,48.01
,"Zamora, MICH, México",,Week 21 (May),99.2,53.9,75.9,,94.9,4.6,,22.4,,44.5,50.71
,"Zamora, MICH, México",,Week 22 (May),98.3,53.7,75.3,,95.5,1.82,,15.7,,39.4,54.42
,"Zamora, MICH, México",,Week 23 (Jun),94.7,57.3,75.2,,91.1,3.8,,29.1,,51.4,57.34
,"Zamora, MICH, México",,Week 24 (Jun),94.4,59.6,73.3,,91.5,10.43,,15.7,,68.8,66.96
,"Zamora, MICH, México",,Week 25 (Jun),92.9,60.9,71.7,,90.5,11,,23,,78.6,71.44
,"Zamora, MICH, México",,Week 26 (Jun),87.8,57.8,69.9,,88.4,14.13,,26.8,,82.8,77.58
,"Zamora, MICH, México",,Week 27 (Jul),91.1,57.5,69.3,,88.9,10.13,,11.4,,82.6,77.28
,"Zamora, MICH, México",,Week 28 (Jul),89,59.3,69.2,,87.6,10.39,,15.7,,80.2,76.99
,"Zamora, MICH, México",,Week 29 (Jul),90.8,55.5,70.1,,87.8,9.04,,17.9,,75.2,73.75
,"Zamora, MICH, México",,Week 30 (Jul),89,56.9,69.8,,87.9,9.59,,22.4,,67.5,74.61
,"Zamora, MICH, México",,Week 31 (Jul),89.3,55.1,70.9,,88.2,3.69,,20.1,,64,71.25
,"Zamora, MICH, México",,Week 32 (Aug),88.4,57.5,70.6,,89.4,10.3,,15.7,,68.1,73.27
,"Zamora, MICH, México",,Week 33 (Aug),91.1,53.7,69.7,,89.9,7.67,,13.9,,64.4,74.78
,"Zamora, MICH, México",,Week 34 (Aug),90.8,56.9,69.4,,88.8,10.5,,16.1,,72.1,76.04
,"Zamora, MICH, México",,Week 35 (Aug),88.4,56.6,70,,87.5,5.87,,22.4,,64,74.6
,"Zamora, MICH, México",,Week 36 (Sep),87.9,50.6,69.2,,88.4,9.63,,17.2,,71.5,75.65
,"Zamora, MICH, México",,Week 37 (Sep),87.5,53.7,69.9,,88.6,5.46,,13.4,,67.8,74.76
,"Zamora, MICH, México",,Week 38 (Sep),87.9,55.7,69.7,,88.5,5.71,,22.3,,69.2,75.05
,"Zamora, MICH, México",,Week 39 (Sep),89.9,52.4,69.9,,89.5,4.09,,15.6,,52.6,70.89
,"Zamora, MICH, México",,Week 40 (Oct),87.8,45.2,68.8,,87.4,1.58,,20.1,,44.6,67.87
,"Zamora, MICH, México",,Week 41 (Oct),89.3,46.5,68.7,,88.2,3.44,,13.4,,52.6,71.94
,"Zamora, MICH, México",,Week 42 (Oct),89.3,44.9,69.3,,86.4,1.53,,23,,41.9,67.6
,"Zamora, MICH, México",,Week 43 (Oct),87.2,44.3,68.3,,85.7,2.7,,24.6,,38.4,64.8
,"Zamora, MICH, México",,Week 44 (Oct),85.4,43.1,66.7,40.9,84.7,1.9,,15.7,,40.3,66.55
,"Zamora, MICH, México",,Week 45 (Nov),89.7,37.7,66.3,,89,0.77,,67.1,,41,66.28
,"Zamora, MICH, México",,Week 46 (Nov),91.5,44.9,66.7,,88.3,0.22,,17.9,,37.7,64.39
,"Zamora, MICH, México",,Week 47 (Nov),89.3,49.4,66.5,,86.3,1.07,,20.1,,37.6,65.73
,"Zamora, MICH, México",,Week 48 (Nov),86.1,37.1,64.1,44.7,84.2,0.05,,13.4,,29.3,58.24
,"Zamora, MICH, México",,Week 49 (Dec),88.1,38,63.6,44.5,84.5,0.83,,11.4,,21.8,60.95
,"Zamora, MICH, México",,Week 50 (Dec),83,39.8,62.8,38.4,81.1,0.3,,69.2,,34.1,61.61
,"Zamora, MICH, México",,Week 51 (Dec),83.9,43.4,63.3,42,81.4,0.03,,17.9,,19.7,59.68
,"Zamora, MICH, México",,Week 52 (Dec),83,41.6,61.5,47.8,83,1.81,,22.4,,50.7,65.98
,"Zamora, MICH, México",,Week 1 (Dec),86.1,44.3,63.2,,83.9,0.04,,13.4,,51,68.05
